Title:,Back 4 Blood Card Compendium & Codex,,,On Desktop? Check out Filter Views,Note: Versus and Campaign Cards to be separately listed even if they have the same effects,,,
Corruption ,Curse,Trial of the Worm,-,Fast Bleed Out,Incap Bleed out Speed is increased by (25%) (50%) (100%),N/A,-,N/A
Corruption,Ridden,Mutation,-,Ferocious Armored Bruisers,"Bruiser's can take a lot of punishment. Keep moving and don't let them get close. Ferocious (+25% Health, +50% Damage), Armored (Weakspots are covered by durable Armor.), Tenacious (Bruiser's regenerate while in a Frenzy.)",N/A,,
Corruption,Ridden,Mutation,-,Ferocious Armored Crushers,"Getting crushed is the worst way to die. Attack the Crusher to free your teammates. Ferocious (+25% Health, +50% Damage), Armored (Weakspots are covered by durable Armor.), Traumatic (Crushers deal 100% Trauma damage.)",N/A,-,N/A
Corruption,Ridden,Mutation,-,Ferocious Armored Exploders,"Stay away from these two-legged death bombs. Ferocious (+25% Health, +50% Damage), Armored (Weakspots are covered by durable Armor.), Shockwave (Explosion knockback increased by 100%)",N/A,-,N/A
Corruption,Ridden,Mutation,-,Ferocious Armored Hockers,"Melee teammates to free them from Hocker Pins. Ferocious (+25% Health, +50% Damage), Armored (Weakspots are covered by durable Armor.), Heartpiercer (Hocker Pin deals an additional 10 damage on impact.)",N/A,-,N/A
Corruption,Ridden,Mutation,-,Ferocious Armored Lobbers,"The Lobber hurls sticky bombs that damage and burn any Cleaners caught in its large blast radius. Mind your ammo and give these explosives a wide berth! Armored (Weakspots are covered by durable Armor.) Ferocious  (+25% Health, +50% Damage) Sear (Ammo on Cleaners caught in the blast radius catches fire and becomes useless. Cleaners lose 10% of their total ammo.), Bombardment (Burning Ammo Piles dropped by Cleaners explode after a delay.)",N/A,-,N/A
Corruption,Ridden,Mutation,-,Ferocious Armored Retches,"Acid spew leaves Dangerous Bile Pools. Ferocious (+25% Health, +50% Damage), Armored (Weakspots are covered by durable Armor.), Gunk (Direct hits with vomit also reduce Reload, Swap, and Use speed by 35%.)",N/A,-,N/A
Corruption,Ridden,Mutation,-,Ferocious Armored Stalkers,"A grabbed teammate is a dead teammate. Quickly kill the Stalker to free teammates. Ferocious (+25% Health, +50% Damage), Armored (Weakspots are covered by durable Armor.), Blooddrinker (Stalkers heal whenever they deal damage.)",N/A,-,N/A
Corruption,Ridden,Mutation,-,Ferocious Armored Stingers,"Stinger spit toxic spittle from long distancs or high vantage points. Ferocious (+25% Health, +50% Damage), Armored (Weakspots are covered by durable Armor.), Congeal (Stinger Spittle blinds and has an increased slowing effect.)",N/A,-,
Corruption,Ridden,Mutation,-,Ferocious Armored Swarmers,"Lurking Swarmers send out Clouds of insects from behind cover to track down Cleaners. Burn these pests and hunt down the Swarmer before you're consumed. Armored (Weakspots are covered by durable Armor.) Ferocious  (+25% Health, +50% Damage) Pesky (The Swarm Cloud applies a stacking 10% Use Speed Debuff) Culling (Swarm Clouds seek out Cleaners with the lowest amount of Health) Persistence (An additional Swarm Cloud spawns)",N/A,-,N/A
Corruption,Ridden,Mutation,-,Ferocious Armored Tallboys,"These towering mutations can surge into powerful slam attacks. Aim for the weakspot or use fire to take them out. Ferocious (+25% Health, +50% Damage), Armored (Weakspots are covered by durable Armor.), Hardened (Tallboys take 75% reduced damage from Explosions)",N/A,-,N/A
Corruption,Ridden,Mutation,-,Ferocious Armored Wailers,"This minelayer births Gas Sacs that track any enemies foolish enough to get close. Destory the Gas Sacs before you're overwhelmed. Armored (Weakspots are covered by durable Armor.) Ferocious (+25% Health, +50% Damage) Prolific (Wailer generates 3 Sacs at a time.) ",N/A,-,N/A
Corruption,Ridden,Ridden,-,Ferocious Blitzing,"This is what remains of the living. Aim for the head to put them down quickly. Ferocious (+25% Health, +2 Additional Damage per hit)",N/A,-,N/A
Corruption ,Kill,Boss,-,Ferocious Boss (+),"Defeat the Boss and complete the level to earn +500 Copper. +Bonus Supply Points Ferocious (+25% Health, +50% Damage), Armored (Weakspots are covered by durable Armor.)",N/A,,
Corruption ,Survive,Boss,-,Ferocious Boss (Elite+),"Defeat the Boss and complete the level without any cleaners being incapacitated to earn +500 Copper. +Bonus Supply Points. Ferocious (+25% Health, +50% Damage), Armored (Weakspots are covered by durable Armor.)",N/A,-,N/A
Corruption ,Event,Boss,-,Ferocious Boss (No Hope),"Beware, a dangerous Boss Mutation lurks nearby. Roaming Boss Card in No Hope Difficulty.",N/A,-,
Corruption ,Survive,Boss,-,Ferocious Boss (Survival+),"Defeat the Boss and complete the level with all cleaners alive to earn +500 Copper. +Bonus Supply Points. Ferocious (+25% Health, +50% Damage), Armored (Weakspots are covered by durable Armor.)",N/A,-,N/A
Corruption,Ridden,Mutation,-,Ferocious Bruisers,"Bruiser's can take a lot of punishment. Keep moving and don't let them get close. Ferocious (+25% Health, +50% Damage), Tenacious (Bruiser's regenerate while in a Frenzy.)",N/A,-,N/A
Corruption,Ridden,Cultist,-,Ferocious Crone,"You have a target on your back! Sidestep these crones' flaming arrows lest you get reduced to cinders. Ferocious (+25% Health, +50% Damage), Smoldering (Will light a target on fire after several hits. Burning targets take damage over time but can extinguish the flames to reduce severity)",N/A,-,N/A
Corruption,Ridden,Mutation,-,Ferocious Crushers,"Getting crushed is the worst way to die. Attack the Crusher to free your teammates. Ferocious (+25% Health, +50% Damage), Traumatic (Crushers deal 100% Trauma damage.)",N/A,-,N/A
Corruption,Ridden,Mutation,-,Ferocious Exploders,"Stay away from these two-legged death bombs. Ferocious (+25% Health, +50% Damage), Shockwave (Explosion knockback increased by 100%)",N/A,-,N/A
Corruption,Ridden,Mutation,-,Ferocious Hockers,"Melee teammates to free them from Hocker Pins. Ferocious (+25% Health, +50% Damage), Heartpiercer (Hocker Pin deals an additional 10 damage on impact.)",N/A,-,N/A
Corruption,Ridden,Ridden,-,Ferocious Jogging Ridden,"This is what remains of the living. Aim for the head to put them down quickly. Ferocious (+25% Health, +2 Additional Damage per hit)",N/A,-,
Corruption,Ridden,Mutation,-,Ferocious Lobbers,The Lobber hurls sticky bombs that damage and burn any Cleaners caught in its large blast radius. Mind your ammo and give these explosives a wide berth! Sear (Ammo on Cleaners caught in the blast radius catches fire and becomes useless. Cleaners lose 10% of their total ammo.),N/A,,
Corruption,Kill,Boss,-,Ferocious Ogre,"You've drawn the attention of the Ogre. Ferocious (+25% Health, +50% Damage), Armored (Weakspots are covered by durable Armor.)",N/A,-,N/A
Corruption,Ridden,Cultist,-,Ferocious Pusflinger,"Lobs jars full of a Cultist Concoction that attract Ridden to the target at a greater distance and drain a Cleaner's Stamina. Ferocious (+25% Health, +50% Damage), ",N/A,-,N/A
Corruption,Ridden,Mutation,-,Ferocious Reekers,"Reeker guts can call the horde if they explode on you. Ferocious (+25% Health, +50% Damage), Viscous (Cleaners hit by Reeker explosions are slower by an additional 30%.)",N/A,-,N/A
Corruption,Ridden,Mutation,-,Ferocious Retches,"Acid spew leaves Dangerous Bile Pools. Ferocious (+25% Health, +50% Damage), Gunk (Direct hits with vomit also reduce Reload, Swap, and Use speed by 35%.)",N/A,,
Corruption,Ridden,Mutation,-,Ferocious Rippers,"This Warped Ridden flings spiked cysts in a line from his massive arm to attack from afar. Ferocious (+25% Health, +50% Damage), Destruction (Hurls spiked balls in 3 wide lines. Find the gap between lines.)",N/A,-,N/A
Corruption,Ridden,Ridden,-,Ferocious Running Ridden,"This is what remains of the living. Aim for the head to put them down quickly. Ferocious (+25% Health, +2 Additional Damage per hit)",N/A,-,N/A
Corruption,Ridden,Ridden,-,Ferocious Shambling Ridden,"This is what remains of the living. Aim for the head to put them down quickly. Ferocious (+25% Health, +2 Additional Damage per hit)",N/A,-,N/A
Corruption,Ridden,Mutation,-,Ferocious Shredders,"This subterranean Warped Ridden launches adhesive tendrils that pull Cleaners toward it, applying the Pus Covered status. Ferocious (+25% Health, +50% Damage), Viscous (Cleaners hit by Shredder Implosions are slower by 30%.)",N/A,,
Corruption,Ridden,Cultist,-,Ferocious Slasher,"Fast moving and heavily armored. These Slashers Leap at their targets and attack with claws that cause extra stacks of Bleed to its victims. Ferocious (+25% Health, +50% Damage), Armored (Weakspots are covered by durable Armor.) Leap (Slashers can perform a leaping slash attack, crossing a long distance very quickly.), Bleed (Bleed causes damage over time that increases in severity with each additional attack.)",N/A,-,500
Corruption,Ridden,Cultist,-,Ferocious Sniper,"Uses a heavily modified Hunting Rifle with a High Visibility Laser for quick acquisition and elimination. Ferocious (+25% Health, +50% Damage)",N/A,-,
Corruption,Ridden,Ridden,-,Ferocious Sprinting Ridden,"This is what remains of the living. Aim for the head to put them down quickly. Ferocious (+25% Health, +2 Additional Damage per hit)",N/A,-,500
Corruption,Ridden,Mutation,-,Ferocious Stalkers,"A grabbed teammate is a dead teammate. Quickly kill the Stalker to free teammates. Ferocious (+25% Health, +50% Damage), Blooddrinker (Stalkers heal whenever they deal damage.)",N/A,-,N/A
Corruption,Ridden,Mutation,-,Ferocious Stingers,"Stinger spit toxic spittle from long distancs or high vantage points. Ferocious (+25% Health, +50% Damage), Congeal (Stinger Spittle blinds and has an increased slowing effect.)",N/A,-,500
Corruption,Ridden,Mutation,-,Ferocious Swarmers,"Lurking Swarmers send out Clouds of insects from behind cover to track down Cleaners. Burn these pests and hunt down the Swarmer before you're consumed. Ferocious  (+25% Health, +50% Damage) Pesky (The Swarm Cloud applies a stacking 10% Use Speed Debuff) Culling (Swarm Clouds seek out Cleaners with the lowest amount of Health) Persistence (An additional Swarm Cloud spawns)",N/A,-,500
Corruption,Ridden,Mutation,-,Ferocious Tallboys,"These towering mutations can surge into powerful slam attacks. Aim for the weakspot or use fire to take them out. Ferocious (+25% Health, +50% Damage), Hardened (Tallboys take 75% reduced damage from Explosions)",N/A,-,N/A
Corruption,Ridden,Mutation,-,Ferocious Urchin,"This subterranean Warped Ridden hurls Urchin Mines that damage and slow Cleaners. Damage the Mines to clear them! Ferocious (+25% Health, +50% Damage), Paralytic (Cleaners hit by the Urchin Mine are slowed even further.)",N/A,-,
Corruption,Ridden,Mutation,-,Ferocious Wailers,"This minelayer births Gas Sacs that track any enemies foolish enough to get close. Destory the Gas Sacs before you're overwhelmed. Ferocious (+25% Health, +50% Damage) Prolific (Wailer generates 3 Sacs at a time.) ",N/A,-,0
Corruption,Ridden,Ridden,-,Festering Ridden,"Festering Common attacks cause a stacking loss of Stamina and Healing Efficiency. Medkits, First Aid Cabinets, and Doc's healing ability can remove the effects.",N/A,-,500
Campaign,Defense,Discipline ,No,Field Surgeon,"When you use a Medical Accessory, it also heals 3 Trauma to the target.",Accomplishment,-,500
Campaign,Talent,Reflex,No,Fill 'em Full of Lead,"While shooting, gain 1% Damage, 1% Fire Rate, and 5% swap speed every 0.25 seconds. Max count of buffs is 20.",Duffel Bag Reward / Children of the Worm Expansion,-,N/A
Campaign,Mobility,Reflex,No,Fire in the Hole!,"When you throw an Offensive Accessory, Gain 20 Temporary Health and 25% Sprint speed for 5 Seconds.",Bridge Town (3),Flat,500
Swarm,Mobility,Reflex,No,Fire in the Hole!,"When you throw an Offensive Accessory, Gain 20 Temporary Health and 25% Sprint speed for 5 Seconds.",Available from Start,-,N/A
Campaign,Stat,Brawn,Yes,Fit as a Fiddle,Team Effects: +20% Team Bolstered Health. +5 Team Health,The Collectors (Tunnels of Terror),,
Corruption ,Boon,Trial of the Worm,-,Flamethrower,A Flamethrower spawns in the Safe Room and additional Gas Cans are added to the environment,N/A,-,
Campaign,Mobility,Reflex,No,Fleet of Foot,+8% Move Speed,Knuckle House,-,
Swarm,Mobility,Reflex,No,Fleet of Foot,+8% Move Speed,Available from Start,-,500
Campaign,Talent,Fortune,No,Food Scavenger,You can sense nearby Food Items. Adds a moderate amount of Food Items to the world. Food items restore an additional 3 Health. (+7 Food Items),Duffel Bag Reward / Children of the Worm Expansion,-,N/A
Swarm,Talent,Fortune,No,Food Scavenger,You can sense nearby Food Items. Adds a moderate amount of Food Items to the world. Food items restore an additional 3 Health. (+7 Food Items),Available from Start,Accessory,500
Campaign,Utility,Fortune,No,Fortune,Gain 50 Copper at the start of each level.,Available when decks empty / Free Card Shrine,-,N/A
Campaign,Defense ,Brawn,No,Fresh Bandage,"At the start of each level, recover 15 Trauma Damage, then restore any missing Health.",Grant's Brew House,-,500
Campaign,Offense ,Discipline ,No,Front Sight Focus,"+20% Accuracy, +10% Weakspot Damage, +15% Aim Speed, +15% Recoil Control",Paul's Alley,-,N/A
Swarm,Offense ,Discipline ,No,Front Sight Focus,"+20% Accuracy, +10% Weakspot Damage, +15% Aim Speed, +15% Recoil Control",Available from Start,-,500
Campaign,Offense,Reflex,No,Glass Cannon,"+25% Damage, -30% Health ",Paul's Alley (3),-,500
Corruption,Event,Environment,-,Gloom,Power is out in most of the area. Only emergency door alarms remain active. Dark Level and more alarmed doors,N/A,-,N/A
Food,Stat,Brawn,No,Gourmet Dinner,Heal 8 Health and Trauma. Also gain 3 Max Health until the end of the level. (See 'Wasteland Chef' Card),"Obtained via ""Wasteland Chef"" in game",-,500
Food,Stat,Brawn,No,Green Beans,Restore 0.1 Health and 0.5 Stamina every second until the end of the map.,Find in Game,-,N/A
Campaign,Offense,Fortune,No,Grenade Pouch,"+1 Offensive Inventory, +25% Swap Speed, -5% Offensive Accessory Cost",Paul's Alley,,
Swarm,Offense ,Fortune,No,Grenade Pouch,"+1 Offensive Inventory, +25% Swap Speed, -5% Offensive Accessory Cost",Available from Start,-,500
Campaign,Offense ,Brawn,No,Grenade Training,+25% Accessory Damage,Fort Hope,-,500
Burn,Defense,Burn,Yes,Group Hug,Team Effects: +1 Team Extra Life.,Roving Merchants (V.1.000.008),-,
Campaign,Defense,Discipline ,No,Group Therapy,"When you use a Medical Accessory, all teammates heal for 8 Health.",The Clinic (3),-,0
Swarm,Defense ,Discipline ,No,Group Therapy,"When you use a Medical Accessory, all teammates heal for 8 Health.",Available from Start,-,0
Campaign,Utility,Reflex,No,Guns Out,"+50% Weapon Swap Speed, -5% Damage Resistance ",The Crow's Nest (2),Melee,600
Swarm,Utility,Reflex,No,Guns Out,"+50% Weapon Swap Speed, -5% Damage Resistance ",Available from Start,Stumble,500
Corruption,Ridden,Boss,-,Hag,A Hag is stalking you.,N/A,-,N/A
Campaign,Utility ,Fortune ,No,Hazard Pay,Gain 250 Bonus Copper at the start of Each level.,Bridge Town (5),-,500
Burn,Defense,Burn,Yes,Hazard Suit,"Team Effects: Each Cleaner gains: +20% Fire Resistance, +20% Acid Resistance, +20% Explosion Resistance",Roving Merchants,-,N/A
Campaign,Utility,Discipline,Yes,Hazmat Specialist,+35% Acid Resistance. Your Bait Jars do direct damage to targets and can hit Weakspots. Team Effects: Killing Mutations that are covered with Bait has a 75% chance to create another Bair Jar.,Duffel Bag Reward / River of Blood Expansion,-,N/A
Campaign,Utility ,Reflex,No,Headband Magnifier,"+125% Use Speed. When you take Damage, you have a chance to be Blinded for 1 Second.",Bridge Town (3),-,500
Swarm,Utility ,Reflex,No,Headband Magnifier,"+125% Use Speed. When you take Damage, you have a chance to be Blinded for 1 Second.",Available from Start,-,N/A
Campaign,Talent,Brawn,Yes,"Heads, You Lose","Each time you pick up copper, a coin flips. If you win, gain a stack of 5% extra damage. If you lose, all stacks are reset.",Legendary Card Shrine,-,500
Corruption,Curse,Trial of the Worm,-,Healing Reduced,Healing Efficiency is reduced by (12.5%) (25%) (50%),N/A,-,500
Campaign,Defense,Brawn,No,Health,+5 Health,Available when decks empty / Free Card Shrine,-,N/A
Swarm,Defense,Brawn,No,Health,+5 Health,Available when decks empty / Free Card Shrine,-,N/A
Campaign,Offense,Brawn,No,Heavy Attack,Press [RIGHTCLICK/L2/LT] with Melee weapons to perform a Heavy Attack. Heavy Attacks deal 100% increased damage and expend 50% more Stamina.,The Strip,-,N/A
Campaign,Offense,Brawn,No,Heavy Hitter,Melee hits always Stumble Ridden the first time they are hit. This effect can only occur once per target.,The Furnace (3),-,N/A
Burn,Utility,Burn,Yes,Hell Can Wait,Team Effects: Gain 1 additional Continue.,Roving Merchants,-,500
Campaign,Mobility,Reflex,No,Hellfire,+45% Movement Speed while firing. +3% Move Speed while not firing.,Bridge Town (4),-,N/A
Swarm,Mobility,Reflex,No,Hellfire,+45% Movement Speed while firing. +3% Move Speed while not firing.,Available from Start,-,N/A
Cleaner,Character,Cleaner,Yes,Heng,"Heng restores an additional 1 Trauma when consuming Food and gains the effects of food consumed by other Cleaners. +Food Spawns (10 Food Items). Team Effects: +1 Health and Stamina for each Food consumed. Starts with an RPK, Hatchet, and a Pipebomb.",Expansion 1 - Tunnels of Terror,-,500
Campaign,Offense,Reflex,No,Hi Vis Sights,"+30% Aim Speed, +15% Move Speed while ADS, +15% Move Speed while firing",Paul's Alley,Weakpoint,500
Swarm,Offense ,Reflex,No,Hi Vis Sights,+40% Aim Speed,Available from Start,Ignore the Pain,500
Campaign,Utility,Fortune,No,Highwayman (Finders Keepers),"Kills with Secondary guns have a 5% chance to spawn ammo, Molotov, or a Bair Jar.",The Stilts (3),Ignore the Pain,N/A
Swarm,Utility,Fortune,No,Highwayman (Finders Keepers),"Kills with Secondary guns have a 5% chance to spawn ammo, Molotov, or a Bair Jar.",Available from Start,Accessory,500
Burn,Utility,Burn,No,Hired Gun,"Each kills grants 5 Copper, up to 1,000.",The Collectors (V.1.000.008),,
Corruption,Ridden,Mutation,-,Hockers,Melee teammates to free them from Hocker Pins.,N/A,-,500
Cleaner,Character,Cleaner,Yes,Hoffman,"Hoffman has a chance to find Ammo or an Offensive Accessory whenever he kills a Ridden, +1 Offensive Inventory. Team Effects: +15% Max Team Ammo Capacity. Starts with a TAC14, M1911, and an Ammo Pouch.",Available from Start,-,N/A
Cleaner,Character,Cleaner,Yes,Holly,"Holly heals 1 Health when she kills a Ridden. +25 Stamina. Team Effects: +5% Team Damage Resistance. Starts with an 870 Express, Bat, and a Stun gun",Available from Start,-,500
Campaign,Defense,Discipline ,No,Hunker Down,"While Crouching, gain 10% Damage Resistance and 40% Accuracy",Paul's Alley (3),-,N/A
Swarm,Defense ,Discipline ,No,Hunker Down,"While Crouching, gain 10% Damage Resistance and 40% Accuracy",Available from Start,Cleaner / Weakpoint,N/A
Corruption,Event,Ridden,-,Hunted,There are rampaging hordes in this area. It's only a matter of time before they find us.,N/A,-,N/A
Campaign,Defense,Brawn,No,Hydration Pack,"+35 Health, -15% Ammo Capacity",The Furnace  / Bot Deck,-,N/A
Campaign,Offense,Reflex,No,Hyper-Focused,"+50% Weakspot Damage, -40% Move Speed while shooting or melee attacking.",Knuckle House (3),-,N/A
Campaign,Defense,Brawn,No,Ignore the Pain,+20% Melee Damage against Mutations. When you deal Melee damage to a Mutation heal 2 Health and recover 3 Stamina.,The Stilts (3),,
Swarm,Defense,Brawn,No,Ignore the Pain,+20% Melee Damage against Mutations. When you deal Melee damage to a Mutation heal 2 Health and recover 3 Stamina.,Available from Start,Weakpoint,500
Campaign,Offense,Brawn,No,Improvised Explosives,"+75% Accessory Damage, -25% Swap Speed",Fort Hope (3),Weakpoint,500
Campaign,Offense,Discipline ,No,In the Zone,Precision Kills grant 5% Reload Speed for 5 Seconds (stacking up to 10 times).,Paul's Alley (4),Bullet,500
Swarm,Offense,Discipline ,No,In the Zone,Precision Kills grant 5% Reload Speed for 5 Seconds (stacking up to 10 times).,Available from Start,Bullet,N/A
Corruption ,Curse,Trial of the Worm,-,Increased Incoming Damage,Incoming Damage is increased by (12.5%) (25%) (50%),N/A,-,N/A
Corruption,Ridden,Ridden,-,Infected Troops,"Military Ridden are Heavily fortified from head to toe. Resistant to Razor Wire and sporting heavy duty helmets, be sure to focus them down before they get too close.",N/A,-,N/A
Campaign,Defense,Discipline,Yes,Inspiring Sacrifice (Blood Donor),"Team Effects: When you or a teammate becomes incapacitated, All teammates recover 20 Health over 10 Seconds.",The Clinic / Bot Deck,-,500
Swarm,Defense ,Discipline ,Yes,Inspiring Sacrifice (Blood Donor),Team Effects: When you or a teammate becomes incapacitated. All teammates recover 20 Health over 15 Seconds.,Available from Start,-,500
Corruption ,Curse,Trial of the Worm,-,Instant Trauma,Cleaners receive Trauma Damage upon opening the Saferoom Door,N/A,-,500
Cleaner,Character,Cleaner,Yes,Jim,"Precision kills grant Jim 2.5% stacking damage until he takes damage (Max 10 Stacks). +25% Reload speed. Team Effects: +10% Team weakspot damage. Starts with a Phoenix 350L, 357 Magnum, and a Razor wire.",Available from Start,-,N/A
Corruption ,Finale,Finale,-,Job 10:22,"Meet with Phillips' operative at the Church. Stay alert, there's a new Snitch mutation in the area that will always call the horde when alerted or killed. Act 2 Finale",N/A,-,500
Corruption,Ridden,Ridden,-,Jogger Swarm,"What remains of the Living, aim for the head to put them down quickly.",N/A,-,500
Cleaner,Character,Cleaner,Yes,Karlee,"Karlee can sense nearby hazards and Mutations. +1 Quick Inventory. Team Effects: +50% Team Use Speed. Starts with an AK47, TEC 9, and a Toolkit",Available from Start,-,N/A
Campaign,Offense,Reflex,No,Killer's Instinct,+30% Weakspot Damage. DISABLES: Aim Down Sights,Fort Hope (3),Weapon,500
Campaign,Utility,Discipline ,No,Knowledge is Power,"+10% Weakspot Damage, Allows Player to see values for damage they deal and enemy health bars.",Knuckle House (3),Weapon,N/A
Campaign,Offense,Discipline ,No,Large Caliber Rounds,"+7.5% Bullet Damage, +200% Bullet Penetration",The Stilts / Bot Deck,-,500
Swarm,Offense,Discipline ,No,Large Caliber Rounds,"+7.5% Bullet Damage, +200% Bullet Penetration",Available from Start,-,500
Burn,Offense,Burn,No,Legendary Attachment,Grants a random Legendary attachment bolted to your primary weapon.,The Collectors (V.1.000.008),-,500
Corruption ,Boon,Trial of the Worm,-,Legendary Attachments,Legendary Attachments can be found in a Prepper Stash,N/A,-,500
Burn,Offense,Burn,No,Legendary Weapon,Grants a random Legendary weapon.,The Collectors (V.1.000.008),-,N/A
Corruption ,Boon,Trial of the Worm,-,Legendary Weapon,A Legendary Weapon can be found in a Prepper Stash,N/A,Marked for Death,500
Campaign,Defense,Fortune,Yes,Life Insurance (Insurance Policy),+2 Extra Life. Team Effects: +10% Reduced Incap Trauma,The Clinic (3),Marked for Death,N/A
Swarm,Defense,Fortune,Yes,Life Insurance (Insurance Policy),+2 Extra Life. Team Effects: +10% Reduced Incap Trauma,Available from Start,Melee,500
Campaign,Offense ,Brawn,No,Line 'em Up,"+10% Effective Bullet Range, +15% Recoil Control, +25% Bullet Penetration, +25% Aim Speed",Grant's Brew House (3),-,500
Swarm,Offense ,Brawn,No,Line 'em Up,"+10% Effective Bullet Range, +15% Recoil Control, +25% Bullet Penetration, +25% Aim Speed",Available from Start,-,500
Corruption,Ridden,Mutation,-,Lobber,The Lobber hurls sticky bombs that damage and burn any Cleaners caught in its large blast radius. Mind your ammo and give these explosives a wide berth! Sear (Ammo on Cleaners caught in the blast radius catches fire and becomes useless. Cleaners lose 10% of their total ammo.),N/A,-,500
Corruption ,Curse,Trial of the Worm,-,Loss of Offensive Slot,Offensive Slots are reduced by 1.,N/A,-,500
Corruption ,Curse,Trial of the Worm,-,Loss of Offensive Slots,Offensive Slots are reduced by 2.,N/A,-,N/A
Corruption ,Curse,Trial of the Worm,-,Loss of Quick Slot,Quick Slots are reduced by 1.,N/A,,
Corruption ,Curse,Trial of the Worm,-,Loss of Quick Slots,Quick Slots are reduced by 2.,N/A,-,500
Corruption ,Curse,Trial of the Worm,-,Loss of Support Slot,Support Slots are reduced by 1.,N/A,-,N/A
Corruption ,Curse,Trial of the Worm,-,Loss of Support Slots,Support Slots are reduced by 2.,N/A,-,500
Campaign,Utility,Fortune ,No,Lucky Pennies (Lucky Duck),"Whenever your team loots Copper, you have a 35% chance to find 100% additional Copper",Accomplishment,-,N/A
Campaign,Mobility,Reflex,No,Mad Dash,"+20% Sprint Speed, -40% Sprint Stamina Efficiency",The Crow's Nest (5),-,N/A
Swarm,Mobility,Reflex,No,Mad Dash,"+20% Sprint Speed, -40% Sprint Stamina Efficiency",Available from Start,-,500
Campaign,Offense,Reflex,No,Mag Carrier,"+30% Pistol/SMG Ammo Capacity, +10% Damage with Pistols and SMGs",Accomplishment,-,N/A
Swarm,Offense,Reflex,No,Mag Carrier,"+30% Pistol/SMG Ammo Capacity, +10% Damage with Pistols and SMGs",Available from Start,-,N/A
Campaign,Offense,Reflex,No,Mag Coupler,"+50% Reload Speed, DISABLES: Aim Down Sights",Paul's Alley (2),-,N/A
Campaign,Talent,Fortune,No,Magician's Apprentice,You have an additional 10% chance to not consume Accessories when used.,The Collectors (Tunnels of Terror),-,N/A
Campaign,Mobility,Reflex,Yes,Mandatory PT,"Team Effects: +10% Team Stamina, +10% Team Stamina Regen",Knuckle House (2),,
Campaign,Mobility,Reflex,No,Marathon Runner,No Movement Penalty for Strafe or Backpedal,The Crow's Nest (2),-,N/A
Swarm,Mobility ,Reflex,No,Marathon Runner,"+5% Move Speed, No Movement Penalty for Strafe or Backpedal",Available from Start,-,N/A
Campaign,Utility,Discipline ,No,Marked for Death,Mutations you Ping are highlighted and your team deals 10% increased damage to highlighted enemies.,Paul's Alley (3) / Bot Deck,-,N/A
Swarm,Utility ,Discipline ,No,Marked for Death,Mutations you Ping are highlighted and your team deals 10% increased damage to highlighted enemies.,Available from Start,-,N/A
Corruption,Curse,Trial of the Worm,-,Max Ammo Reduced,Max Ammo is reduced by (12.5%),N/A,-,N/A
Corruption ,Curse,Trial of the Worm,-,Max Health Reduced,Max Health is reduced by (12.5%),N/A,,
Campaign,Offense,Brawn,No,Mean Drunk,+40% Melee Damage. Your Melee Attacks cause cleave through enemies dealing damage in a large area.,Knuckle House (2),-,N/A
Campaign,Offense,Discipline ,No,Meatgrinder,Gain 30% Move Speed and Accuracy while crouched and using an LMG.,Accomplishment,-,N/A
Swarm,Offense,Discipline ,No,Meatgrinder,Gain 30% Move Speed and Accuracy while crouched and using an LMG.,Available from Start,,
Campaign,Defense,Reflex,Yes,Medical Expert,"+50% Revive Speed. When you use a Medical Accessory, it also heals 1 Trauma to the target. Team Effects: +15% Healing Efficiency.",The Clinic (4) / Bot Deck,-,N/A
Campaign,Defense,Discipline ,No,Medical Professional,"Defibrillators and First Aid heal 10 additional Trauma Damage and 1 Extra Life, if able.",The Clinic (4),-,N/A
Burn,Loot,Burn,Yes,Medical Supply Scavenger,Team Effects: Increased Medical items spawn this level.,The Collectors (V.1.000.008),-,N/A
Food,Stat,Brawn,No,Mediocre Meal,Recover 5 Health (See 'Wasteland Chef' Card),"Obtained via ""Wasteland Chef"" in game",-,N/A
Campaign,Offense ,Reflex,No,Meth Head,Each Melee swing grants 5% Melee Speed and 5% Melee Stamina Efficiency for 6 Seconds. Stacking up to 10 times. Your Melee Attacks no longer stick in tough enemies. DISABLES: Aim Down Sights,The Crow's Nest (3),-,
Swarm,Offense ,Reflex,No,Meth Head,Each Melee swing grants 5% Melee Speed and 5% Melee Stamina Efficiency for 6 Seconds. Stacking up to 10 times. Your Melee Attacks no longer stick in tough enemies. DISABLES: Aim Down Sights,Available from Start,-,N/A
Campaign,Defense,Reflex,No,Miraculous Recovery,"When you use a Medical Accessory, it has a 25% chance to have 100% increased effect.",The Clinic (4),-,N/A
Corruption,Event,Environment,-,Mist,An Unnatural fog has settled on this area. Dense Fog and More Sleeper Spawns,N/A,-,N/A
Cleaner,Character,Cleaner,Yes,Mom,"Mom grants her team 25 Temporary Health when a teammate is Incapped. +1 Support Inventory. Team Effects: +100% Team Revive Speed, 20% Slower Team Temp Health Decay. Starts with Ranch Rifle, Belgian, & Pain Meds.",Available from Start,-,N/A
Campaign,Utility,Fortune,No,Money Grubbers,"Each time your team loots Copper, you gain 3 additional Copper, up to 25 times.",The Stilts (2),,
